timestamp,model,task,item_id,role,prompt_tokens,completion_tokens,latency_seconds,estimated_cost_usd,error
2026-09-18T19:28:49,gpt-oss-120b,bbq_bias,bbq_age_2920,subject,144,100,1.584,0.0,
2026-09-18T19:28:50,gpt-oss-20b,bbq_bias,bbq_age_2920,subject,144,139,1.219,0.0,
2026-09-18T19:28:51,gpt-oss-safeguard-20b,bbq_bias,bbq_age_2920,subject,144,83,0.952,0.0,
2026-09-18T19:28:52,qwen-3.8-27b,bbq_bias,bbq_age_2920,subject,87,2,0.878,0.0,
2026-09-18T19:28:53,allam-2-7b,bbq_bias,bbq_age_2920,subject,90,88,0.824,0.0,
2026-09-18T19:28:56,claude-haiku-4-5,bbq_bias,bbq_age_2920,subject,87,4,3.784,0.000107,
2026-09-18T19:28:59,claude-sonnet-5,bbq_bias,bbq_age_2920,subject,110,3,2.353,0.00025,
2026-09-18T19:29:01,claude-opus-5,bbq_bias,bbq_age_2920,subject,110,3,2.767,0.000625,
2026-09-18T19:29:06,gpt-oss-120b,bbq_bias,bbq_ethnicity_870,subject,142,187,4.099,0.0,
2026-09-18T19:29:08,gpt-oss-20b,bbq_bias,bbq_ethnicity_870,subject,142,335,2.654,0.0,
2026-09-18T19:29:10,gpt-oss-safeguard-20b,bbq_bias,bbq_ethnicity_870,subject,142,800,1.739,0.0,
2026-09-18T19:29:11,qwen-3.8-27b,bbq_bias,bbq_ethnicity_870,subject,87,2,0.72,0.0,
2026-09-18T19:29:11,allam-2-7b,bbq_bias,bbq_ethnicity_870,subject,92,3,0.712,0.0,
2026-09-18T19:29:14,claude-haiku-4-5,bbq_bias,bbq_ethnicity_870,subject,82,4,2.357,0.000102,
2026-09-18T19:29:16,claude-sonnet-5,bbq_bias,bbq_ethnicity_870,subject,111,3,1.853,0.000252,
2026-09-18T19:29:18,claude-opus-5,bbq_bias,bbq_ethnicity_870,subject,111,3,2.445,0.00063,
2026-09-18T19:29:19,gpt-oss-120b,bbq_bias,bbq_gender_660,subject,132,89,1.239,0.0,
2026-09-18T19:29:22,gpt-oss-20b,bbq_bias,bbq_gender_660,subject,132,214,2.252,0.0,
2026-09-18T19:29:22,gpt-oss-safeguard-20b,bbq_bias,bbq_gender_660,subject,132,139,0.913,0.0,
2026-09-18T19:29:23,qwen-3.8-27b,bbq_bias,bbq_gender_660,subject,75,2,0.815,0.0,
2026-09-18T19:29:24,allam-2-7b,bbq_bias,bbq_gender_660,subject,78,3,0.818,0.0,
2026-09-18T19:29:26,claude-haiku-4-5,bbq_bias,bbq_gender_660,subject,71,4,1.439,9.1e-05,
2026-09-18T19:29:29,claude-sonnet-5,bbq_bias,bbq_gender_660,subject,92,3,3.903,0.000214,
2026-09-18T19:29:32,claude-opus-5,bbq_bias,bbq_gender_660,subject,92,3,2.963,0.000535,
2026-09-18T19:29:34,gpt-oss-120b,bbq_bias,bbq_religion_834,subject,135,116,1.227,0.0,
2026-09-18T19:29:35,gpt-oss-20b,bbq_bias,bbq_religion_834,subject,135,122,1.224,0.0,
2026-09-18T19:29:36,gpt-oss-safeguard-20b,bbq_bias,bbq_religion_834,subject,135,174,0.998,0.0,
2026-09-18T19:29:37,qwen-3.8-27b,bbq_bias,bbq_religion_834,subject,76,2,0.76,0.0,
2026-09-18T19:29:37,allam-2-7b,bbq_bias,bbq_religion_834,subject,81,5,0.688,0.0,
2026-09-18T19:29:39,claude-haiku-4-5,bbq_bias,bbq_religion_834,subject,75,4,1.329,9.5e-05,
2026-09-18T19:29:41,claude-sonnet-5,bbq_bias,bbq_religion_834,subject,104,3,2.563,0.000238,
2026-09-18T19:29:44,claude-opus-5,bbq_bias,bbq_religion_834,subject,104,3,2.814,0.000595,
2026-09-18T19:29:45,gpt-oss-120b,bbq_bias,bbq_religion_554,subject,135,67,1.177,0.0,
2026-09-18T19:29:46,gpt-oss-20b,bbq_bias,bbq_religion_554,subject,135,136,1.289,0.0,
2026-09-18T19:29:47,gpt-oss-safeguard-20b,bbq_bias,bbq_religion_554,subject,135,139,0.861,0.0,
2026-09-18T19:29:48,qwen-3.8-27b,bbq_bias,bbq_religion_554,subject,78,2,0.819,0.0,
2026-09-18T19:29:49,allam-2-7b,bbq_bias,bbq_religion_554,subject,80,85,1.031,0.0,
2026-09-18T19:29:50,claude-haiku-4-5,bbq_bias,bbq_religion_554,subject,73,4,1.32,9.3e-05,
2026-09-18T19:29:53,claude-sonnet-5,bbq_bias,bbq_religion_554,subject,100,3,2.552,0.00023,
2026-09-18T19:29:56,claude-opus-5,bbq_bias,bbq_religion_554,subject,100,3,2.867,0.000575,
2026-09-18T19:29:57,gpt-oss-120b,bbq_bias,bbq_age_952,subject,141,126,1.449,0.0,
2026-09-18T19:29:59,gpt-oss-20b,bbq_bias,bbq_age_952,subject,141,87,1.219,0.0,
2026-09-18T19:30:00,gpt-oss-safeguard-20b,bbq_bias,bbq_age_952,subject,141,117,0.914,0.0,
2026-09-18T19:30:01,qwen-3.8-27b,bbq_bias,bbq_age_952,subject,88,2,1.131,0.0,
2026-09-18T19:30:01,allam-2-7b,bbq_bias,bbq_age_952,subject,98,8,0.71,0.0,
2026-09-18T19:30:03,claude-haiku-4-5,bbq_bias,bbq_age_952,subject,87,4,1.856,0.000107,
2026-09-18T19:30:06,claude-sonnet-5,bbq_bias,bbq_age_952,subject,108,3,2.957,0.000246,
