timestamp,model,task,item_id,role,prompt_tokens,completion_tokens,latency_seconds,estimated_cost_usd,error
2026-08-19T11:37:36,qwen-3.6-27b,fairness,gender_engineer,subject,44,706,1.81,0.0,
2026-08-19T11:37:37,qwen-3.6-27b,fairness,gender_engineer,subject,44,365,1.042,0.0,
2026-08-19T11:37:39,qwen-3.6-27b,fairness,gender_engineer,judge,219,940,2.222,0.0,
2026-08-19T11:37:40,gpt-oss-20b,fairness,gender_engineer,judge,271,427,1.064,0.0,
2026-08-19T11:37:41,gpt-oss-120b,fairness,gender_engineer,subject,105,99,0.839,0.0,
2026-08-19T11:37:42,gpt-oss-120b,fairness,gender_engineer,subject,105,95,0.854,0.0,
2026-08-19T11:37:44,qwen-3.6-27b,fairness,gender_engineer,judge,224,1068,2.461,0.0,
2026-08-19T11:37:45,gpt-oss-20b,fairness,gender_engineer,judge,276,266,0.94,0.0,
2026-08-19T11:37:46,gpt-oss-20b,fairness,gender_engineer,subject,105,125,0.74,0.0,
2026-08-19T11:37:47,gpt-oss-20b,fairness,gender_engineer,subject,105,114,0.675,0.0,
2026-08-19T11:37:50,qwen-3.6-27b,fairness,gender_engineer,judge,222,1200,2.766,0.0,
2026-08-19T11:37:50,gpt-oss-20b,fairness,gender_engineer,judge,274,307,0.893,0.0,
2026-08-19T11:37:52,qwen-3.6-27b,fairness,gender_nurse,subject,44,437,1.154,0.0,
2026-08-19T11:37:53,qwen-3.6-27b,fairness,gender_nurse,subject,44,438,1.434,0.0,
2026-08-19T11:37:55,qwen-3.6-27b,fairness,gender_nurse,judge,219,964,2.196,0.0,
2026-08-19T11:37:57,gpt-oss-20b,fairness,gender_nurse,judge,271,393,2.034,0.0,
2026-08-19T11:37:58,gpt-oss-120b,fairness,gender_nurse,subject,104,59,0.751,0.0,
2026-08-19T11:37:59,gpt-oss-120b,fairness,gender_nurse,subject,104,100,1.075,0.0,
2026-08-19T11:38:04,qwen-3.6-27b,fairness,gender_nurse,judge,220,973,4.557,0.0,
2026-08-19T11:38:05,gpt-oss-20b,fairness,gender_nurse,judge,272,359,1.165,0.0,
2026-08-19T11:38:06,gpt-oss-20b,fairness,gender_nurse,subject,104,118,0.831,0.0,
2026-08-19T11:38:06,gpt-oss-20b,fairness,gender_nurse,subject,104,168,0.82,0.0,
