timestamp,model,task,item_id,role,prompt_tokens,completion_tokens,latency_seconds,estimated_cost_usd,error
2026-09-11T20:38:29,qwen-3.6-27b,fairness,gender_engineer,subject,44,452,4.974,0.0,
2026-09-11T20:38:45,qwen-3.6-27b,fairness,gender_engineer,subject,44,365,16.559,0.0,
2026-09-11T20:38:48,qwen-3.6-27b,fairness,gender_engineer,judge,224,1200,3.225,0.0,
2026-09-11T20:38:50,gpt-oss-20b,fairness,gender_engineer,judge,276,222,1.162,0.0,
2026-09-11T20:38:51,gpt-oss-120b,fairness,gender_engineer,subject,105,57,1.177,0.0,
2026-09-11T20:38:52,gpt-oss-120b,fairness,gender_engineer,subject,105,94,1.175,0.0,
2026-09-11T20:39:22,qwen-3.6-27b,fairness,gender_engineer,judge,224,958,30.449,0.0,
2026-09-11T20:39:24,gpt-oss-20b,fairness,gender_engineer,judge,275,267,1.186,0.0,
2026-09-11T20:39:25,gpt-oss-20b,fairness,gender_engineer,subject,105,114,1.228,0.0,
2026-09-11T20:39:26,gpt-oss-20b,fairness,gender_engineer,subject,105,114,0.973,0.0,
2026-09-11T20:40:24,qwen-3.6-27b,fairness,gender_engineer,judge,220,1079,58.611,0.0,
2026-09-11T20:40:26,gpt-oss-20b,fairness,gender_engineer,judge,272,269,1.372,0.0,
2026-09-11T20:41:16,qwen-3.6-27b,fairness,gender_nurse,subject,44,437,50.007,0.0,
2026-09-11T20:41:42,qwen-3.6-27b,fairness,gender_nurse,subject,44,438,26.138,0.0,
2026-09-11T20:41:47,qwen-3.6-27b,fairness,gender_nurse,judge,219,964,5.218,0.0,
2026-09-11T20:41:48,gpt-oss-20b,fairness,gender_nurse,judge,271,393,1.274,0.0,
2026-09-11T20:41:50,gpt-oss-120b,fairness,gender_nurse,subject,104,115,1.241,0.0,
2026-09-11T20:41:51,gpt-oss-120b,fairness,gender_nurse,subject,104,100,1.371,0.0,
2026-09-11T20:42:54,qwen-3.6-27b,fairness,gender_nurse,judge,0,0,63.084,0.0,"rate-limited after 6 attempts: Groq rate limit: {""error"":{""message"":""Request too large for model `qwen/qwen3.6-27b` in organization `org_01kz8mek5semgv7jryvcba2v33` service tier `on_demand` on output tokens per minute (OTPM): Limit 1000, Requested 1079. The request's expected output tokens exceed the enforced limit; reduce max_tokens (or the requ"
2026-09-11T20:42:56,gpt-oss-20b,fairness,gender_nurse,judge,273,398,1.53,0.0,
2026-09-11T20:42:57,gpt-oss-20b,fairness,gender_nurse,subject,104,156,1.075,0.0,
2026-09-11T20:42:58,gpt-oss-20b,fairness,gender_nurse,subject,104,162,1.064,0.0,
2026-09-11T20:43:01,qwen-3.6-27b,fairness,gender_nurse,judge,239,1178,3.056,0.0,
2026-09-11T20:43:02,gpt-oss-20b,fairness,gender_nurse,judge,290,192,1.194,0.0,
2026-09-11T20:43:52,qwen-3.6-27b,fairness,gender_ceo,subject,46,800,50.038,0.0,
2026-09-11T20:44:41,qwen-3.6-27b,fairness,gender_ceo,subject,46,800,48.431,0.0,
2026-09-11T20:45:34,qwen-3.6-27b,fairness,gender_ceo,judge,176,1200,53.71,0.0,
2026-09-11T20:45:36,gpt-oss-20b,fairness,gender_ceo,judge,229,340,1.387,0.0,
2026-09-11T20:45:38,gpt-oss-120b,fairness,gender_ceo,subject,106,110,2.426,0.0,
2026-09-11T20:45:39,gpt-oss-120b,fairness,gender_ceo,subject,106,107,1.102,0.0,
2026-09-11T20:46:05,qwen-3.6-27b,fairness,gender_ceo,judge,0,0,25.954,0.0,"rate-limited after 6 attempts: Groq rate limit: {""error"":{""message"":""Request too large for model `qwen/qwen3.6-27b` in organization `org_01kz8mek5semgv7jryvcba2v33` service tier `on_demand` on output tokens per minute (OTPM): Limit 1000, Requested 1200. The request's expected output tokens exceed the enforced limit; reduce max_tokens (or the requ"
2026-09-11T20:46:06,gpt-oss-20b,fairness,gender_ceo,judge,281,187,1.153,0.0,
2026-09-11T20:46:07,gpt-oss-20b,fairness,gender_ceo,subject,106,254,1.139,0.0,
2026-09-11T20:46:09,gpt-oss-20b,fairness,gender_ceo,subject,106,219,1.394,0.0,
2026-09-11T20:46:34,qwen-3.6-27b,fairness,gender_ceo,judge,0,0,25.45,0.0,"rate-limited after 6 attempts: Groq rate limit: {""error"":{""message"":""Request too large for model `qwen/qwen3.6-27b` in organization `org_01kz8mek5semgv7jryvcba2v33` service tier `on_demand` on output tokens per minute (OTPM): Limit 1000, Requested 1178. The request's expected output tokens exceed the enforced limit; reduce max_tokens (or the requ"
2026-09-11T20:46:36,gpt-oss-20b,fairness,gender_ceo,judge,309,269,1.269,0.0,
2026-09-11T20:46:37,qwen-3.6-27b,fairness,name_loan,subject,43,467,1.563,0.0,
2026-09-11T20:46:55,qwen-3.6-27b,fairness,name_loan,subject,44,353,17.716,0.0,
2026-09-11T20:47:20,qwen-3.6-27b,fairness,name_loan,judge,0,0,25.355,0.0,"rate-limited after 6 attempts: Groq rate limit: {""error"":{""message"":""Request too large for model `qwen/qwen3.6-27b` in organization `org_01kz8mek5semgv7jryvcba2v33` service tier `on_demand` on output tokens per minute (OTPM): Limit 1000, Requested 1178. The request's expected output tokens exceed the enforced limit; reduce max_tokens (or the requ"
2026-09-11T20:47:21,gpt-oss-20b,fairness,name_loan,judge,277,66,0.968,0.0,
2026-09-11T20:47:23,gpt-oss-120b,fairness,name_loan,subject,104,94,1.438,0.0,
2026-09-11T20:47:24,gpt-oss-120b,fairness,name_loan,subject,105,98,1.193,0.0,
2026-09-11T20:47:26,qwen-3.6-27b,fairness,name_loan,judge,220,876,2.659,0.0,
2026-09-11T20:47:28,gpt-oss-20b,fairness,name_loan,judge,273,66,1.117,0.0,
2026-09-11T20:47:29,gpt-oss-20b,fairness,name_loan,subject,104,100,1.242,0.0,
2026-09-11T20:47:30,gpt-oss-20b,fairness,name_loan,subject,105,112,1.263,0.0,
2026-09-11T20:48:27,qwen-3.6-27b,fairness,name_loan,judge,0,0,56.514,0.0,"rate-limited after 6 attempts: Groq rate limit: {""error"":{""message"":""Request too large for model `qwen/qwen3.6-27b` in organization `org_01kz8mek5semgv7jryvcba2v33` service tier `on_demand` on output tokens per minute (OTPM): Limit 1000, Requested 1200. The request's expected output tokens exceed the enforced limit; reduce max_tokens (or the requ"
2026-09-11T20:48:28,gpt-oss-20b,fairness,name_loan,judge,276,274,1.523,0.0,
2026-09-11T20:48:30,qwen-3.6-27b,fairness,name_tenant,subject,39,800,2.347,0.0,
2026-09-11T20:49:07,qwen-3.6-27b,fairness,name_tenant,subject,42,358,36.876,0.0,
2026-09-11T20:49:50,qwen-3.6-27b,fairness,name_tenant,judge,0,0,42.985,0.0,"rate-limited after 6 attempts: Groq rate limit: {""error"":{""message"":""Request too large for model `qwen/qwen3.6-27b` in organization `org_01kz8mek5semgv7jryvcba2v33` service tier `on_demand` on output tokens per minute (OTPM): Limit 1000, Requested 1178. The request's expected output tokens exceed the enforced limit; reduce max_tokens (or the requ"
2026-09-11T20:49:52,gpt-oss-20b,fairness,name_tenant,judge,261,458,1.471,0.0,
2026-09-11T20:49:53,gpt-oss-120b,fairness,name_tenant,subject,100,110,1.255,0.0,
2026-09-11T20:49:54,gpt-oss-120b,fairness,name_tenant,subject,103,95,1.21,0.0,
2026-09-11T20:49:59,qwen-3.6-27b,fairness,name_tenant,judge,222,864,4.866,0.0,
2026-09-11T20:50:01,gpt-oss-20b,fairness,name_tenant,judge,275,312,1.41,0.0,
2026-09-11T20:50:02,gpt-oss-20b,fairness,name_tenant,subject,100,142,1.155,0.0,
2026-09-11T20:50:03,gpt-oss-20b,fairness,name_tenant,subject,103,165,1.237,0.0,
2026-09-11T20:50:57,qwen-3.6-27b,fairness,name_tenant,judge,0,0,54.359,0.0,"rate-limited after 6 attempts: Groq rate limit: {""error"":{""message"":""Request too large for model `qwen/qwen3.6-27b` in organization `org_01kz8mek5semgv7jryvcba2v33` service tier `on_demand` on output tokens per minute (OTPM): Limit 1000, Requested 1200. The request's expected output tokens exceed the enforced limit; reduce max_tokens (or the requ"
2026-09-11T20:50:59,gpt-oss-20b,fairness,name_tenant,judge,273,415,1.742,0.0,
2026-09-11T20:51:01,qwen-3.6-27b,fairness,name_hiring,subject,43,453,2.436,0.0,
2026-09-11T20:51:19,qwen-3.6-27b,fairness,name_hiring,subject,43,800,17.57,0.0,
2026-09-11T20:52:33,qwen-3.6-27b,fairness,name_hiring,judge,200,1042,74.407,0.0,
2026-09-11T20:52:35,gpt-oss-20b,fairness,name_hiring,judge,253,275,1.583,0.0,
2026-09-11T20:52:36,gpt-oss-120b,fairness,name_hiring,subject,103,94,1.44,0.0,
2026-09-11T20:52:38,gpt-oss-120b,fairness,name_hiring,subject,103,95,1.163,0.0,
2026-09-11T20:53:04,qwen-3.6-27b,fairness,name_hiring,judge,0,0,26.588,0.0,"rate-limited after 6 attempts: Groq rate limit: {""error"":{""message"":""Request too large for model `qwen/qwen3.6-27b` in organization `org_01kz8mek5semgv7jryvcba2v33` service tier `on_demand` on output tokens per minute (OTPM): Limit 1000, Requested 1200. The request's expected output tokens exceed the enforced limit; reduce max_tokens (or the requ"
2026-09-11T20:53:05,gpt-oss-20b,fairness,name_hiring,judge,276,101,1.159,0.0,
2026-09-11T20:53:07,gpt-oss-20b,fairness,name_hiring,subject,103,104,1.14,0.0,
2026-09-11T20:53:08,gpt-oss-20b,fairness,name_hiring,subject,103,104,1.432,0.0,
2026-09-11T20:53:34,qwen-3.6-27b,fairness,name_hiring,judge,0,0,26.322,0.0,"rate-limited after 6 attempts: Groq rate limit: {""error"":{""message"":""Request too large for model `qwen/qwen3.6-27b` in organization `org_01kz8mek5semgv7jryvcba2v33` service tier `on_demand` on output tokens per minute (OTPM): Limit 1000, Requested 1200. The request's expected output tokens exceed the enforced limit; reduce max_tokens (or the requ"
2026-09-11T20:53:36,gpt-oss-20b,fairness,name_hiring,judge,273,455,1.744,0.0,
2026-09-11T20:53:38,qwen-3.6-27b,fairness,age_promotion,subject,42,512,1.83,0.0,
2026-09-11T20:53:59,qwen-3.6-27b,fairness,age_promotion,subject,42,512,21.494,0.0,
